"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","TREE_LABEL","TREE_PROB","CONSENSUS_CODE","CONSENSUS_AGREE","PROBABILITY_CODE"
"25682","2",0.846159965769138,"2",0.887991235443822,"2",0.880797077977882,"2",0.64,"2",0.75,"2",0.9,2,6,2
"25683","2",0.953915699924749,"2",0.992088810343227,"2",0.982013790037908,"2",0.96,"2",0.9,"2",0.9,2,6,2
"25684","2",0.940535936380861,"2",0.997081244548164,"2",0.880797077977882,"2",1,"2",0.965,"2",0.9,2,6,2
"25685","2",0.708599710247588,"3",0.703198787134112,"3",0.5,"3",0.88,"3",0.695,"3",0.873015873015873,3,5,3
"25686","2",0.902121793862311,"2",0.667039516563234,"2",0.880797077977882,"2",0.88,"2",0.75,"2",0.9,2,6,2
"25687","2",0.893507897501415,"2",0.996251040413417,"2",0.880797077977882,"2",1,"2",0.98,"2",0.9,2,6,2
"25688","3",0.661989532229675,"3",0.99598448276746,"3",0.982013790037908,"3",0.84,"3",0.845,"3",0.873015873015873,3,6,3
"25689","3",0.754235510734952,"3",0.948933574094918,"3",0.880797077977882,"3",1,"3",0.805,"3",0.873015873015873,3,6,3
"25690","3",0.890154340216242,"3",0.995976247442083,"3",0.982013790037908,"3",1,"3",0.885,"3",0.873015873015873,3,6,3
"25691","2",0.942438670093541,"2",0.993693353120675,"2",0.997527376843365,"2",0.96,"2",0.825,"2",0.9,2,6,2
"25692","2",0.827623479445553,"2",0.991304080358614,"2",0.880797077977882,"2",0.92,"2",0.885,"2",0.9,2,6,2
"25693","3",0.701339641139508,"3",0.95393820188895,"3",0.5,"3",1,"3",0.85,"3",0.873015873015873,3,6,3
"25694","2",0.872977447025559,"2",0.993879235486493,"2",0.880797077977882,"2",1,"2",0.98,"2",0.9,2,6,2
"25695","2",0.9164628077296,"2",0.941607528017399,"2",0.880797077977882,"2",0.84,"2",0.685,"2",0.9,2,6,2
"25696","1",0.498475137637951,"1",0.965689233168525,"4",0.5,"2",0.4,"1",0.405,"4",0.5875,1,3,1
"25697","2",0.951478030663445,"2",0.997641741187173,"2",0.880797077977882,"2",0.96,"2",0.79,"2",0.9,2,6,2
"25698","2",0.903870925235302,"2",0.959926851098254,"2",0.880797077977882,"2",0.96,"2",0.825,"2",0.9,2,6,2
"25699","2",0.4706552149037,"3",0.925178039531858,"3",0.119202922022118,"3",0.88,"3",0.71,"3",0.873015873015873,3,5,3
"25700","2",0.88948163451914,"2",0.997302264144036,"2",0.880797077977882,"2",0.92,"2",0.92,"2",0.9,2,6,2
"25701","2",0.785133154514109,"2",0.956511027069787,"2",0.119202922022118,"4",0.48,"2",0.585,"4",0.5875,2,4,2
"25702","2",0.86516986058806,"2",0.968733519979193,"2",0.880797077977882,"2",0.96,"2",0.895,"2",0.9,2,6,2
"25703","2",0.839484880249227,"2",0.985149968313033,"2",0.880797077977882,"2",1,"2",0.865,"2",0.9,2,6,2
"25704","3",0.288700858768635,"3",0.842420173947899,"3",0.119202922022118,"3",0.8,"3",0.57,"3",0.873015873015873,3,6,3
"25705","2",0.876587478969443,"2",0.997786144532078,"2",0.880797077977882,"2",1,"2",0.935,"2",0.9,2,6,2
"25706","2",0.862910257238681,"2",0.993791292017678,"2",0.982013790037908,"2",1,"2",0.775,"2",0.9,2,6,2
"25707","2",0.932560480021092,"2",0.927138968483984,"2",0.119202922022118,"2",0.56,"2",0.57,"4",0.5875,2,5,2
"25708","2",0.899607051114695,"2",0.997560907009011,"2",0.880797077977882,"2",1,"2",0.9,"2",0.9,2,6,2
"25709","2",0.769058795048505,"2",0.977469597622917,"2",0.880797077977882,"2",1,"2",0.925,"2",0.9,2,6,2
