"","SVM_LABEL","SVM_PROB","SLDA_LABEL","SLDA_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","BAGGING_LABEL","BAGGING_PROB","FORESTS_LABEL","FORESTS_PROB","NNETWORK_LABEL","NNETWORK_PROB","TREE_LABEL","TREE_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"69","2",0.951219930160736,"2",1,"2",0.999999999650903,"2",0.999999168471972,"2",1,"2",0.895,"2",0.999737325929021,"2",1,2,2,8,0,2,0
"70","2",0.947531228646509,"2",1,"2",0.999999800947783,"2",0.999993855825398,"2",1,"2",0.915,"2",0.999743495437014,"2",1,2,2,8,0,2,0
"71","2",0.668929997248973,"1",1,"2",0.991379418630987,"3",0.119202922022118,"3",0.84,"2",0.635,"2",0.95538108108825,"3",0.695652173913043,3,2,4,1,1,1
"72","2",0.929238424447313,"2",1,"2",0.993948375014233,"2",0.999993855825398,"2",1,"2",0.895,"2",0.999330990960783,"2",1,2,2,8,0,2,0
"73","3",0.546613255216353,"1",1,"2",0.754626921489137,"3",0.999664649869534,"3",1,"2",0.64,"1",0.98562527248098,"3",1,3,3,4,0,1,1
"74","3",0.784999584827364,"1",1,"3",0.988816919112273,"3",0.999993855825398,"3",0.92,"2",0.52,"3",0.991807030060598,"3",0.695652173913043,3,3,6,0,1,1
"75","2",0.954211954689288,"2",1,"2",0.999585029758857,"2",0.999954602131298,"2",1,"2",1,"2",0.999686804951574,"2",1,2,2,8,0,2,0
"76","2",0.869240282173675,"2",1,"3",0.928282329053148,"2",0.997527376843365,"2",1,"2",0.8,"2",0.980225551978281,"2",1,2,2,7,0,2,0
"77","2",0.958513784011303,"2",1,"2",0.92580806409239,"2",0.999954602131298,"2",1,"2",1,"2",0.999699162445527,"2",1,2,2,8,0,2,0
"78","2",0.518041133829849,"1",1,"3",0.714804355955314,"2",0.5,"3",0.52,"2",0.665,"1",0.97458141621044,"3",0.695652173913043,3,2,3,1,1,1
"79","2",0.951402620384705,"2",1,"2",0.999959546727528,"2",0.999954602131298,"2",1,"2",1,"2",0.999705546345024,"2",1,2,2,8,0,2,0
"80","2",0.958582427496786,"2",1,"2",0.999964396917246,"2",0.999999887464838,"2",1,"2",0.925,"2",0.999741627279877,"2",1,2,2,8,0,2,0
"81","2",0.912564453382492,"2",1,"2",0.843371248243254,"2",0.999954602131298,"2",0.88,"2",0.885,"2",0.999055510314471,"2",1,2,2,8,0,2,0
