,x,,,,,,,,
1,women continue national efforts measures implementation plan society awareness public,,,,,,,,societal awareness
2,death freedom penalty expression view moratorium legislation racial political religious,,,,,,,,civil + political rights
3,violence women children measures discrimination child legislation domestic sexual trafficking,,,,,,,,women + children
4,ensure measures system detention access justice improve conditions treatment judicial,,,,,,,,"jusicial, prisons + detention"
5,rights convention international ratify optional protocol special persons protection torture,,,,,,,,international conventions
6,continue efforts education social health access children rights people development,,,,,,,,"social, cultural + economic rights"
7,rights human national ensure international law principles establish accordance paris,,,,,,,,human rights + international law
